tipo,comuna,timestamp,descripcion
Otro,Desconocida,2025-06-03T07:51:33+00:00,"Vía cerrada - Salida 21 > San Pablo / Claudio Arrau, Acceso Autopista Américo Vespucio > Ruta 68 / Las Condes, Acceso a Autopista Américo Vespucio > Ruta 68 / Las Condes"
Otro,Desconocida,2025-06-03T07:51:33+00:00,"Bache - Iquique, Gorbea"
Otro,Desconocida,2025-06-03T07:52:48+00:00,Carril cerrado - Av. Libertador Bernardo O'Higgins
Hazard,Desconocida,2025-06-03T07:52:48+00:00,Bache - Luis Galdames
Otro,Desconocida,2025-06-03T07:52:48+00:00,"Bache - Puerto Montt, Montevideo"
Chit-chat,Desconocida,2025-06-03T07:58:27+00:00,Conversación - Av. Armando Cortinez
Chit-chat,Desconocida,2025-06-03T07:59:47+00:00,Conversación - Antonia López de Bello
Otro,Desconocida,2025-06-03T08:17:11+00:00,Conversación - Av. Armando Cortinez
Road-closed,Desconocida,2025-06-03T08:26:35+00:00,Vía cerrada - Vicuña Mackenna
Chit-chat,Desconocida,2025-06-03T08:31:54+00:00,Conversación -
Otro,Desconocida,2025-06-03T08:57:32+00:00,"Peligro vial - Autopista Costanera Norte, Av. José Miguel Infante"
Police,Desconocida,2025-06-03T08:58:48+00:00,Policía - Av. Armando Cortinez
Police,Desconocida,2025-06-03T08:58:48+00:00,Policía - Av. Vitacura
Otro,Desconocida,2025-06-03T09:17:58+00:00,"Peligro vial - Autopista Vespucio Norte, Av. Américo Vespucio"
Accident,Desconocida,2025-06-03T09:24:12+00:00,Accidente grave - Encomenderos
Otro,Desconocida,2025-06-03T09:25:27+00:00,Vía cerrada - Av. Vitacura > Oriente
Otro,Desconocida,2025-06-03T09:27:58+00:00,Accidente grave - Encomenderos
Otro,Desconocida,2025-06-03T09:38:51+00:00,"Bache - Gorbea, Av. Libertador Bernardo O'Higgins"
Police,Desconocida,2025-06-03T09:41:30+00:00,Policía - Ernesto Muzard
Otro,Desconocida,2025-06-03T09:42:48+00:00,Conversación - Av. Diego Aracena
Police,Desconocida,2025-06-03T09:43:37+00:00,Policía - Los Hilanderos
Otro,Desconocida,2025-06-03T10:29:40+00:00,Bache - Av. Américo Vespucio
